id,latitude,longitude,name,address,zip,city,state
294,46.95361163218042,7.4372760729484755,Hallerstrasse West,Zähringerstrasse 4,3012,Bern,Active
295,46.93711118,7.4178258,Sporthalle Weissenstein,Hardeggerstrasse 1,3008,Bern,Active
296,46.94393194,7.385305929,Stapfenacker,Brünnenstrasse 61,3018,Bern,Active
298,46.94273502,7.459545459,Seminar,Seminarstrasse 15,3006,Bern,Active
299,46.93994018,7.382510418,Waldmeisterstrasse,Waldmeisterstrasse 36,3018,Bern,Active
300,46.93719587,7.436087518,Wander,Weissenbühlweg 36,3007,Bern,Active
301,46.9440348,7.4120405,Steigerhubel,Schlossstrasse 112,3008,Bern,Active
302,46.938576,7.437862,Wabernstrasse,Wabernstrasse 34,3007,Bern,Active
303,46.95099521,7.472621936,Zentrum Paul Klee,Undo-endo 24a,3006,Bern,Active
304,46.94297644,7.430234236,Zieglerstrasse,Zieglerstrasse 62,3007,Bern,Active
305,46.9416773,7.43188762,Eigerplatz,Mühlemattstrasse 55,3007,Bern,Active
306,46.94002172,7.431781882,Eigerplatz Süd,Seftigenstrasse 1,3007,Bern,Active
307,46.94801738,7.4218936,Station ausser Betrieb wegen technischen Problemen: Friedbühlstrasse,Friedbühlstrasse 51,3008,Bern,Active
308,46.9465416,7.4356627,Hallenbad Hirschengraben,Maulbeerstrasse 17,3011,Bern,Active
309,46.9406022,7.418736318,Fischermätteli,Könizstrasse 73,3008,Bern,Active
310,46.9593371,7.43490843,Freies Gymnasium,Hochfeldstrasse 115,3012,Bern,Active
311,46.94422437,7.4366749,Kapellenstrasse BFF,Kapellenstrasse 8,3011,Bern,Active
312,46.935648,7.445895,Ka-We-De,Jubiläumsstrasse 99,3005,Bern,Active
313,46.94155908,7.4708865,Jolimontstrasse,Jolimontstrasse 18,3006,Bern,Active
314,46.94508595,7.4324531,Haslerstrasse,Haslerstrasse 4,3008,Bern,Active
315,46.94214487435689,7.442504502303056,Marzilibad,Brückenstrasse,3005,Bern,Active
316,46.9446775,7.4432641,Marzilibahn,Brückenstrasse 20,3005,Bern,Active
317,46.94603348,7.433214818,Kocherpark,Effingerstrasse 27,3008,Bern,Active
318,46.9410399,7.435917259,Monbijoustrasse,Monbijoustrasse 61,3007,Bern,Active
320,46.94647067,7.452519,Mattelift,Badgasse 21,3011,Bern,Active
321,46.9396581,7.440236936,Monbijoubrücke,Eigerstrasse 80,3007,Bern,Active
322,46.934534,7.441946,Schöneggweg,Zinggstrasse 24,3007,Bern,Active
323,46.933646280041835,7.448225744500959,Restaurant Dählhölzli,Tierparkweg 2,3005,Bern,Active
324,46.94588,7.41549,Schenkstrasse,Huberstrasse 2,3008,Bern,Active
325,46.93602296,7.430064114,Bahnhof Weissenbühl,Südbahnhofstrasse 14b,3007,Bern,Active
326,46.94787377,7.459892118,Bärenpark,Grosser-Muristalden 4,3006,Bern,Active
327,46.938964,7.4476281,Anshelmstrasse,Aegertenstrasse 49,3005,Bern,Active
328,46.94173123,7.3930053,Bümpliz Post,Keltenstrasse 106,3018,Bern,Active
329,46.94167558,7.425978988,Cäcilienplatz,Brunnmattstrasse 55,3007,Bern,Active
330,46.9427163,7.4410406,Brückenstrasse BFH,Brückenstrasse 73,3005,Bern,Active
331,46.9458073,7.4270475,Brunnmattschulhaus,Brunnmattstrasse 16,3007,Bern,Active
332,46.9438105,7.469424718,Egelgasse-Ostring,Egelgasse 72,3006,Bern,Active
333,46.93664047,7.475829418,Egghölzli,Egghölzlistrasse 3A,3006,Bern,Active
347,46.94148275,7.466440977,Burgernziel,Muristrasse 64,3006,Bern,Active
